,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
578,1771890,Cale Simmons,20583,Air Force,Mountain West (MWC),4.96,5.32,5.53,5.5,2013
580,1676517,Josh McMillin,20768,Colorado State,Mountain West (MWC),4.55,4.62,4.75,4.9,2013
582,1671795,Scott Rice,21159,Mt St. Mary's,Northeast (NEC),4.3,4.05,4.35,4.27,2013
586,3055204,Michael Woepse,21490,UCLA,PAC-10,5.2,5.55,5.35,5.2,2015
587,3845573,Derick Hinch,20618,Arizona State,PAC-10,5.09,5.5,5.3,5.4,2014
588,5168411,Jax Thoirs,21523,Washington,PAC-10,5.25,5.4,5.65,5.45,2016
589,1839835,Austin Ouderkirk,21242,Oregon,PAC-10,4.93,5.12,5.14,5.2,2013
590,3828263,JJ Juilfs,21523,Washington,PAC-10,5.44,5.2,5.11,5.3,2015
591,5042901,Matt Hidalgo,21242,Oregon,PAC-10,5.2,5.2,5.05,5.17,2016
592,3844612,Dalton Duvio,21424,Stanford,PAC-10,4.99,5.15,4.72,4.88,2015
593,5042958,Chris Williams,21523,Washington,PAC-10,5.05,4.7,5.3,5.28,2016
594,3884751,Mark Sakioka,21490,UCLA,PAC-10,5.11,5.03,5.08,5.1,2015
595,603650,Jeremy Taiwo,21523,Washington,PAC-10,4.25,4.6,4.86,5.0,2013
596,3552363,Marcus Nilsson,21490,UCLA,PAC-10,4.42,4.8,4.8,5.1,2015
597,3949981,Jemal Williams,21493,USC,PAC-10,4.1,4.43,4.58,4.5,2015
598,5041915,Blake Kemp,21242,Oregon,PAC-10,4.1,4.3,4.65,4.7,2016
600,1672921,Daniel Markwalter,20683,Bucknell,Patriot,4.6,4.65,4.78,4.35,2013
605,1780983,Joseph Caraway,21056,LSU,Southeastern (SEC),5.2,5.08,5.2,5.25,2013
606,1780993,Thomas Reinecke,21056,LSU,Southeastern (SEC),5.05,5.09,5.3,5.25,2013
609,1772529,Max Lang,20871,Florida,Southeastern (SEC),4.72,5.15,5.0,4.7,2013
611,1770804,Logan Cunningham,21460,Texas State,Southland (SLC),5.05,5.25,5.45,5.2,2013
612,662817,Matt Johnson,21321,Sam Houston State,Southland (SLC),4.45,4.62,4.8,4.5,2013
613,1751787,Jack Whitt,21240,Oral Roberts,Summit,5.41,5.6,5.65,5.65,2013
614,1751786,Dustin Gehrke,21240,Oral Roberts,Summit,5.11,5.25,5.05,5.35,2013
615,1776532,Jesse Morrow,21198,North Dakota State,Summit,4.6,4.78,5.11,5.02,2013
620,606488,Devin Cassels,21294,Richmond,Atlantic 10,4.0,4.15,4.15,4.5,2012
621,946050,Bryan Stepancic,20833,Duquesne,Atlantic 10,4.25,4.2,4.2,4.2,2012
623,675838,Cameron George,21192,North Carolina-Charlotte,Atlantic 10,3.85,4.1,4.25,4.1,2012
624,951904,Joseph Sliwoski,21288,Rhode Island,Atlantic 10,3.05,3.4,3.7,3.8,2012
630,653449,Alex Hill,21517,Wake Forest,Atlantic Coast (ACC),3.05,3.5,3.05,3.9,2012
631,637760,Noah Thompson,21199,North Florida,Atlantic Sun,4.55,4.52,4.6,4.35,2012
633,636018,Nate Polacek,21169,Nebraska,Big 10,5.13,5.07,5.22,5.38,2012
640,677982,Wes Kavelaris,21576,Wisconsin,Big 10,4.75,4.79,4.95,5.0,2012
642,637436,Logan Lynch,21103,Michigan State,Big 10,4.9,5.2,5.18,4.88,2012
644,679408,Alex Baldwin,20966,Illinois,Big 10,4.78,4.85,4.91,4.71,2012
645,676452,Ian Jansen,21576,Wisconsin,Big 10,4.55,4.64,4.65,4.7,2012
646,666335,Taylor Voice,21102,Michigan,Big 10,4.0,4.65,4.85,4.65,2012
651,628721,Colton Sandman,21453,Texas A&amp;M,Big 12,4.6,5.0,4.9,4.65,2012
652,654230,Eddie Taylor,20765,Colorado,Big 12,3.95,4.25,4.33,4.5,2012
655,626659,Kevin Schipper,21219,Notre Dame,Big East,5.16,5.3,5.25,5.4,2012
661,841088,Kyle Inks,20694,Cal Poly SLO,Big West,4.75,4.72,5.06,5.35,2012
663,805529,Tom Hamm,21486,UC Irvine,Big West,4.6,4.8,4.91,4.6,2012
665,948665,Josh Codding,21489,UC Santa Barbara,Big West,4.15,4.25,4.18,4.24,2012
666,628661,Bryan Brown,20955,Houston,C-USA,4.3,5.05,5.07,5.1,2012
671,659162,Tanner Willard,21364,South Dakota,Great West,3.83,4.14,4.25,4.22,2012
673,716253,Martin Craig,21179,New Jersey Tech,Great West,3.55,3.5,3.65,3.35,2012
675,655710,Jason Marks,20770,Columbia,Heps,4.55,4.55,4.6,4.78,2012
678,624303,Derek Hopkins,21003,Kent State,Mid-American (MAC),4.9,4.78,4.9,4.75,2012
680,637370,Joseph Jankowski,20719,Central Michigan,Mid-American (MAC),4.75,4.91,4.7,4.58,2012
682,678586,Mike McGregor,20719,Central Michigan,Mid-American (MAC),4.7,4.85,4.9,4.95,2010
684,1699028,Aaron Young,21560,Wichita State,Missouri Valley (MVC),4.6,4.81,4.31,4.8,2012
688,2091087,Tyler Brown,20690,BYU,Mountain West (MWC),4.9,5.02,4.81,4.82,2013
692,3055330,Isaac Robison,20690,BYU,Mountain West (MWC),4.1,4.2,4.17,4.35,2014
702,667666,Trent Perez,21490,UCLA,PAC-10,4.85,4.75,4.82,4.6,2012
703,656170,Jamie Sandys,20618,Arizona State,PAC-10,3.75,4.35,4.43,4.3,2012
706,668838,Nick Henderson,21014,Lafayette,Patriot,4.25,4.45,4.5,4.78,2012
708,626425,Paul Neidhardt,21167,Navy,Patriot,4.35,4.6,4.8,4.56,2012
710,666068,Marvin Reitze,21361,South Carolina,Southeastern (SEC),5.35,5.4,5.3,5.5,2012
715,665961,John Smith,20900,Georgia,Southeastern (SEC),4.75,5.2,5.25,5.1,2012
718,873387,Jason Anderson,21124,Mississippi,Southeastern (SEC),4.3,4.4,4.47,4.42,2012
720,10534324,Kovey Simmons,21369,Southeast Louisiana,Southland (SLC),15.583333333333336,15.583333333333336,17.229166666666668,17.458333333333332,2012
721,666291,Lance Ardoin,21090,McNeese State,Southland (SLC),4.45,4.55,4.75,4.8,2012
725,667755,Weston Leutz,21198,North Dakota State,Summit,4.3,4.55,4.32,4.1,2012
727,676823,John Johnson,21496,Utah State,Western (WAC),4.9,4.79,4.92,4.8,2012
728,653533,Luke Schoen,20591,Albany,America East,5.05,5.25,5.35,5.25,2011
742,646143,Chris Thoman,21274,Purdue,Big 10,4.75,5.2,5.1,5.25,2011
