ID,Name,School_ID,School,Division
10795088,Greg Matzelle,20661,Binghamton,America East
8991846,Thomas Cooper,20661,Binghamton,America East
17799642,Anthony Urbancik,21430,Stony Brook,America East
17848611,Taiki Hirooka,20661,Binghamton,America East
16200457,Shamar Barnes,21079,Maryland-Baltimore County,America East
14309640,Ben Cotton,21062,Maine,America East
17748468,Jaeden Burke,21079,Maryland-Baltimore County,America East
16218306,Michael Hermance,20591,Albany,America East
14390854,Jowell Dixon,20591,Albany,America East
14309670,Kyle Jacques,21062,Maine,America East
14402528,Joshua Titus,21430,Stony Brook,America East
14390840,Blaise Umuhuza,20591,Albany,America East
14393387,Sebastian Ramos,21430,Stony Brook,America East
17659321,Ralph Cruz,21062,Maine,America East
14309661,Emmanuel Nkounkou,21176,New Hampshire,America East
16200400,Darius Adams,21079,Maryland-Baltimore County,America East
17659314,Adrian Sutton,21176,New Hampshire,America East
17848602,Evan Parise,20661,Binghamton,America East
17848598,Kaleb Istvan,20661,Binghamton,America East
16204864,Zachary Beaton,21062,Maine,America East
18148323,William Love,21176,New Hampshire,America East
16270729,Alex Warner,21502,Vermont,America East
16270732,Jackson Baker,21502,Vermont,America East
14324941,Eli Ogilvie,21502,Vermont,America East
14309651,Brian Genet,21176,New Hampshire,America East
17555503,Shaun Maswanganyi,20955,Houston,American
17547694,Dylan Brown,20955,Houston,American
14432592,Travis Collins,20955,Houston,American
12555498,Nicholas Alexander,20955,Houston,American
14327820,Jordan Booker,20955,Houston,American
16298709,Christian Hamberlin,20955,Houston,American
14327794,Edward Sumler IV,20955,Houston,American
12555499,Trenton McDonald,20955,Houston,American
17547695,Jeffery Hulon,20955,Houston,American
17831958,Toluwani Adebakin,21367,South Florida,American
9027557,Jacarias Martin,20955,Houston,American
16284027,Isiah Pantiere,21051,Louisville,American
14327791,Lateef Birks Jr.,20955,Houston,American
17853373,D'Angelo Whitehead,21093,Memphis,American
16207515,Austin Jackson,21093,Memphis,American
17546836,Adebowale Smith,21311,Rutgers,American
17590658,Shemar Vance,21093,Memphis,American
16314464,Nadale Buntin,21311,Rutgers,American
17547689,Alec Williams,20955,Houston,American
17920745,Louis Akpadago,21311,Rutgers,American
17559398,Tkai Wade,21051,Louisville,American
14308907,A'Nan Bridgett,21311,Rutgers,American
17564511,Marcus Wright,20955,Houston,American
12638874,Isaac Elliott,20833,Duquesne,Atlantic 10
14316930,Myles Gascon,21409,Saint Louis U,Atlantic 10
16203712,Larue Martin,21288,Rhode Island,Atlantic 10
17987352,Abraham Tambah,21288,Rhode Island,Atlantic 10
17860668,Jahmaine Hatten,20833,Duquesne,Atlantic 10
14309224,Michael Capone,20878,Fordham,Atlantic 10
12556484,Joseph Manetta,21288,Rhode Island,Atlantic 10
17842959,Donald Adams,21407,St Joseph's (PA),Atlantic 10
10879267,David Bryant,21407,St Joseph's (PA),Atlantic 10
16271680,Robert LeFevre,20878,Fordham,Atlantic 10
14309147,Manu Guzman,20878,Fordham,Atlantic 10
17799609,Eric Galante,20878,Fordham,Atlantic 10
10879455,Cravont Charleston,21190,North Carolina State,Atlantic Coast (ACC)
14451362,Marcus Parker,20751,Clemson,Atlantic Coast (ACC)
17548319,Cameron Rose,21510,Virginia Tech,Atlantic Coast (ACC)
16280930,Qhiyal Towns,21187,North Carolina,Atlantic Coast (ACC)
16280965,Joseph Laster III,20831,Duke,Atlantic Coast (ACC)
17866741,Asa Burke,21100,Miami (FL),Atlantic Coast (ACC)
14424625,Alan Alvarez,21190,North Carolina State,Atlantic Coast (ACC)
10801601,Tyson Spears,20903,Georgia Tech,Atlantic Coast (ACC)
16280964,Ezra Mellinger,20831,Duke,Atlantic Coast (ACC)
12645947,Miles Mingo,20831,Duke,Atlantic Coast (ACC)
14387387,Alex Lang,21190,North Carolina State,Atlantic Coast (ACC)
16299412,KJ Moore,21510,Virginia Tech,Atlantic Coast (ACC)
17548329,Michael Bell,21510,Virginia Tech,Atlantic Coast (ACC)
14387361,LaFranz Campbell,20751,Clemson,Atlantic Coast (ACC)
14387605,Ethan Roach,21517,Wake Forest,Atlantic Coast (ACC)
17547560,Cameron Leiba,20876,Florida State,Atlantic Coast (ACC)
17541761,Alexander Schwedt,20831,Duke,Atlantic Coast (ACC)
12645946,Jacob Sobota,20831,Duke,Atlantic Coast (ACC)
17838419,Tavares Kelly,21507,Virginia,Atlantic Coast (ACC)
17838418,Justice Dixon,21507,Virginia,Atlantic Coast (ACC)
17563561,Jalen Gordon,21100,Miami (FL),Atlantic Coast (ACC)
17548325,Keith Barbour,21510,Virginia Tech,Atlantic Coast (ACC)
10798820,Ahmed Amaar,21040,Lipscomb,Atlantic Sun
14389362,Aaron Goodwin,21002,Kennesaw State,Atlantic Sun
12652847,Omar Diaz,21002,Kennesaw State,Atlantic Sun
12652871,Jordan Hewing,21002,Kennesaw State,Atlantic Sun
16293653,Malik Watson,21363,South Carolina Upstate,Atlantic Sun
17553332,Quann Shears,21002,Kennesaw State,Atlantic Sun
17546231,Ian Jackson,21002,Kennesaw State,Atlantic Sun
12539420,Hayden Stover,20643,Belmont,Atlantic Sun
14384181,Griffin Hodge,20643,Belmont,Atlantic Sun
12603328,Eric Harrison,21230,Ohio State,Big 10
16315630,Marcellus Moore,21274,Purdue,Big 10
14327864,Samson Colebrooke,21274,Purdue,Big 10
16310006,Adrian Curry,21230,Ohio State,Big 10
9015529,Malcolm Dotson,21274,Purdue,Big 10
17541736,Austin Kresley,20979,Iowa,Big 10
17546619,Lawrence Johnson,21576,Wisconsin,Big 10
16459931,Kion Benjamin,21117,Minnesota,Big 10
16282706,Kainnan Ramsey,21230,Ohio State,Big 10
14401396,Declan Rustay,20966,Illinois,Big 10
14327870,Justin Becker,21274,Purdue,Big 10
12616309,Jason Shannon,20966,Illinois,Big 10
16676460,Antonio Postell,21103,Michigan State,Big 10
17548570,Jaydon Antoine,21117,Minnesota,Big 10
14393557,Cameron Vereen,21078,Maryland,Big 10
17541743,Aarron Westmoreland,21117,Minnesota,Big 10
9015480,Treyton Harris,20972,Indiana (IN),Big 10
17554171,Ka'mere Day,21255,Penn State,Big 10
17541728,Finn Schirmer,21117,Minnesota,Big 10
16272960,Joseph Ewan,21078,Maryland,Big 10
17853154,Joseph McCarthy,21103,Michigan State,Big 10
14323428,Peyton Haack,20979,Iowa,Big 10
17546826,Kamari Trotz,21078,Maryland,Big 10
16315647,Tanner Iske,20979,Iowa,Big 10
16315636,Josh Zeller,21102,Michigan,Big 10
14423818,Noah Lukz,21169,Nebraska,Big 10
17547955,Adam Wiatr,21274,Purdue,Big 10
12638437,Tamar Greene,21274,Purdue,Big 10
12564966,Teddy Frid,21117,Minnesota,Big 10
17547925,Noah Stallworth,21102,Michigan,Big 10
17853166,Connor Raines,21117,Minnesota,Big 10
10802751,William Session,20972,Indiana (IN),Big 10
14327907,Isaiah Martin,21274,Purdue,Big 10
17541735,Wyatt Lubarski,21117,Minnesota,Big 10
9123512,Jonathan Fife,21103,Michigan State,Big 10
10125551,Cale Wagner,21169,Nebraska,Big 10
10879340,Jackson Webb,21232,Oklahoma,Big 12
16225331,Demarius Smith,21232,Oklahoma,Big 12
16302047,Kamden Jackson,20641,Baylor,Big 12
17546764,Courtney Lindsey,21461,Texas Tech,Big 12
16321617,Emmanuel Yeboah,21453,Texas A&amp;M,Big 12
14401036,Keion Sutton,21461,Texas Tech,Big 12
16310205,Ashton O'Conner,21461,Texas Tech,Big 12
12615978,Isaiah Cunningham,20641,Baylor,Big 12
10880455,Maxwell Willis,20641,Baylor,Big 12
17546778,Caleb Hulbin,21452,Texas,Big 12
14401356,Nylo Clarke,21128,Missouri,Big 12
10945312,Jace Comick,21453,Texas A&amp;M,Big 12
17546765,Daniel Omah,21461,Texas Tech,Big 12
16205509,Ryan Martin,21453,Texas A&amp;M,Big 12
16316969,Alajuwan Robinson,21232,Oklahoma,Big 12
18174476,Mark Perry,20765,Colorado,Big 12
11241363,Terry Brown Jr.,21452,Texas,Big 12
12648230,Josiah Macinnis,21461,Texas Tech,Big 12
16205480,Connor Schulman,21453,Texas A&amp;M,Big 12
10880452,Ian Braxton,20641,Baylor,Big 12
18174475,Dimitri Stanley,20765,Colorado,Big 12
17851419,Chris Craig,20765,Colorado,Big 12
