ID,Name,School_ID,School,Division
14122806,Noreen Guilfoyle,20591,Albany,America East
14157953,Emmy Beyer,21079,Maryland-Baltimore County,America East
16120133,Madison Armonda,21079,Maryland-Baltimore County,America East
17617261,Kaitlyn Iocca,20591,Albany,America East
17617266,Sheridan Talada,20661,Binghamton,America East
14157954,Leanne Sneeringer,21079,Maryland-Baltimore County,America East
14157955,Margo Henley,21079,Maryland-Baltimore County,America East
14307332,Elisabeth Van Tassell,20661,Binghamton,America East
12324175,Edith Torres,21079,Maryland-Baltimore County,America East
15952260,Kyra Guerci,20661,Binghamton,America East
17617262,Cameron Crawford,20661,Binghamton,America East
12494830,Sydney Pulvidente,20661,Binghamton,America East
15952258,Kaitlyn Deyulio,20661,Binghamton,America East
15952257,Claire Brenner,20661,Binghamton,America East
10655367,Grace Moore,21447,Temple,American
16118851,Darby Gauntt,20955,Houston,American
14168070,Regan Lobodzinski,20955,Houston,American
14168068,Madeline Castleberry,20955,Houston,American
16118850,Claire Meyer,20955,Houston,American
16118852,Sondos Moursy,20955,Houston,American
17547681,Macie Ellis,20955,Houston,American
14081088,Chandler Horton,21192,North Carolina-Charlotte,Atlantic 10
17583047,Elizabeth Stockman,21294,Richmond,Atlantic 10
17442654,Louise Lounes,21192,North Carolina-Charlotte,Atlantic 10
14845693,Alina Rovnak,21192,North Carolina-Charlotte,Atlantic 10
12358742,Caroline Robelen,21294,Richmond,Atlantic 10
17442651,Emma Fredericks,21192,North Carolina-Charlotte,Atlantic 10
17838440,Vivian Overbeck,28888,George Washington,Atlantic 10
16123645,Jade Martin,21192,North Carolina-Charlotte,Atlantic 10
12378354,Margaret Coogan,28888,George Washington,Atlantic 10
17693962,Madison Trippett,21294,Richmond,Atlantic 10
17575647,Julia Jelegat,21409,Saint Louis U,Atlantic 10
17575646,Carly Sear,21409,Saint Louis U,Atlantic 10
17555950,Caitlyn Burkett,21192,North Carolina-Charlotte,Atlantic 10
14187787,Una Treanor,21288,Rhode Island,Atlantic 10
12231393,Megan Ng,21409,Saint Louis U,Atlantic 10
16105267,Rebecca Durham,21288,Rhode Island,Atlantic 10
17693947,Maddy Kopec,20878,Fordham,Atlantic 10
16105265,Daniella Napoli,21288,Rhode Island,Atlantic 10
17589870,Molly Sabia,21288,Rhode Island,Atlantic 10
14187786,Sabrina Charron,21288,Rhode Island,Atlantic 10
12666559,Rebecca Fagan,21294,Richmond,Atlantic 10
17575648,Lea Devantier,21409,Saint Louis U,Atlantic 10
16105266,Jackie Peschko,21288,Rhode Island,Atlantic 10
17693963,Lidia Clarizio,21409,Saint Louis U,Atlantic 10
14017364,Margaret O'Brien,21409,Saint Louis U,Atlantic 10
16119054,Riley Demo,21409,Saint Louis U,Atlantic 10
16119053,Ashleigh Niklaus,21409,Saint Louis U,Atlantic 10
16095985,Alexandra Thomas,20878,Fordham,Atlantic 10
17575651,Olivia Paez,21409,Saint Louis U,Atlantic 10
17693945,Clodagh McGroary,20878,Fordham,Atlantic 10
16462843,Emily Longmore,20878,Fordham,Atlantic 10
17575645,Alissa Lange,21409,Saint Louis U,Atlantic 10
12314688,Nicole Fegans,20903,Georgia Tech,Atlantic Coast (ACC)
14208280,Savannah Shaw,21190,North Carolina State,Atlantic Coast (ACC)
10676464,Sarah Edwards,21510,Virginia Tech,Atlantic Coast (ACC)
8893212,Lauren Berman,21510,Virginia Tech,Atlantic Coast (ACC)
12615845,Liz Galarza,20903,Georgia Tech,Atlantic Coast (ACC)
12358716,Dominique Clairmonte,21190,North Carolina State,Atlantic Coast (ACC)
16104513,Samantha Bush,21190,North Carolina State,Atlantic Coast (ACC)
17462006,Gionna Quarzo,21190,North Carolina State,Atlantic Coast (ACC)
16104512,Mariah Howlett,21190,North Carolina State,Atlantic Coast (ACC)
8830366,Ryen Frazier,21190,North Carolina State,Atlantic Coast (ACC)
14183061,Helena Lindsay,21507,Virginia,Atlantic Coast (ACC)
17432561,Sorcha McAllister,20667,Boston College,Atlantic Coast (ACC)
10487279,Mary Claire Solomon,20903,Georgia Tech,Atlantic Coast (ACC)
12363090,Jodie Judd,20876,Florida State,Atlantic Coast (ACC)
12388217,Kiera Bothwell,21507,Virginia,Atlantic Coast (ACC)
17477117,Reagan Bustamante,21510,Virginia Tech,Atlantic Coast (ACC)
16023074,Caroline Garrett,21517,Wake Forest,Atlantic Coast (ACC)
14081095,Spencer Faircloth,21517,Wake Forest,Atlantic Coast (ACC)
14387386,Elizabeth Rice,20903,Georgia Tech,Atlantic Coast (ACC)
14045900,Josie Wirtz,20751,Clemson,Atlantic Coast (ACC)
16023075,Isabelle Dutranoit,21517,Wake Forest,Atlantic Coast (ACC)
17478137,Hana Catsimanes,21517,Wake Forest,Atlantic Coast (ACC)
16093834,Riley Bahr,20876,Florida State,Atlantic Coast (ACC)
16080577,Abby Schrobilgen,20876,Florida State,Atlantic Coast (ACC)
17477104,Kelli Wilson,20831,Duke,Atlantic Coast (ACC)
17396061,Kate Tugman,20876,Florida State,Atlantic Coast (ACC)
16080581,Kaley Boethig,20876,Florida State,Atlantic Coast (ACC)
16080584,Rachel Johnson,20876,Florida State,Atlantic Coast (ACC)
17476427,Melanie Castro,20876,Florida State,Atlantic Coast (ACC)
17432582,Quinn Wilson,20876,Florida State,Atlantic Coast (ACC)
14185148,Alondra Reyna-Lopez,20876,Florida State,Atlantic Coast (ACC)
16080582,Lindsay Boethig,20876,Florida State,Atlantic Coast (ACC)
16104379,Brianna Hartley,20751,Clemson,Atlantic Coast (ACC)
14185152,Julia Blankenbaker,20876,Florida State,Atlantic Coast (ACC)
14185153,Kaia Stevenson,20876,Florida State,Atlantic Coast (ACC)
14840056,Emma Warren,20876,Florida State,Atlantic Coast (ACC)
9037019,Grace Oetting,21040,Lipscomb,Atlantic Sun
12290617,Lindsey Stallworth,20839,East Tennessee State,Atlantic Sun
17563556,Nyah Hernandez,21002,Kennesaw State,Atlantic Sun
17590666,Faith Bobak,21002,Kennesaw State,Atlantic Sun
14131917,Camryn Cooney,21199,North Florida,Atlantic Sun
14131921,Grace Gumpel,21199,North Florida,Atlantic Sun
17554771,Mia McLain,21199,North Florida,Atlantic Sun
14131928,Sadie McLaughlin,21199,North Florida,Atlantic Sun
17554764,Billie Castillo,21199,North Florida,Atlantic Sun
17590652,Zoe Smith,21002,Kennesaw State,Atlantic Sun
14131927,Raquel Lespasio,21199,North Florida,Atlantic Sun
10586639,Bethany Hasz,21117,Minnesota,Big 10
17547920,Addie Engel,21230,Ohio State,Big 10
14029917,Emma Milburn,20966,Illinois,Big 10
10586646,Megan Hasz,21117,Minnesota,Big 10
16174460,Emma Tate,21274,Purdue,Big 10
12386776,Allison McGrath,20966,Illinois,Big 10
