ID,Name,School_ID,School,Division
2844327,Petra Olsen,21361,South Carolina,Southeastern (SEC)
636408,Tara Diebold,20619,Arkansas,Southeastern (SEC)
656590,Rachel Laurent,21056,LSU,Southeastern (SEC)
2844704,Linda Hadfield,21448,Tennessee,Southeastern (SEC)
2826074,Danielle Nowell,20619,Arkansas,Southeastern (SEC)
1672824,Neal Tisher,21124,Mississippi,Southeastern (SEC)
666096,Meagen Martin,21499,Vanderbilt,Southeastern (SEC)
1772596,Morgan Toone,21499,Vanderbilt,Southeastern (SEC)
3866082,Natasha Benner,20619,Arkansas,Southeastern (SEC)
666018,Samantha Stenzel,21004,Kentucky,Southeastern (SEC)
2826080,Megan Weller,20619,Arkansas,Southeastern (SEC)
1772566,Shelby Kennard,21004,Kentucky,Southeastern (SEC)
3844483,Megan Wall,21361,South Carolina,Southeastern (SEC)
681229,Claire Spurling,20871,Florida,Southeastern (SEC)
3845836,Caitlin Schuessler,20871,Florida,Southeastern (SEC)
3844884,Lacey Sanchez,21056,LSU,Southeastern (SEC)
1772594,Alyson Hasty,21499,Vanderbilt,Southeastern (SEC)
3844898,Kelly McCormick,21124,Mississippi,Southeastern (SEC)
4048646,Ashleigh Culpepper,21124,Mississippi,Southeastern (SEC)
2770081,Cassandra Crawford,20615,Appalachian State,Southern (SoCon)
3813308,Claire Goodson,21322,Samford,Southern (SoCon)
3800001,Chelsea Farr,20615,Appalachian State,Southern (SoCon)
2863414,Ashley Cope,21322,Samford,Southern (SoCon)
3809732,Claire Smith,20855,Elon,Southern (SoCon)
3800004,Debra Domermuth,20615,Appalachian State,Southern (SoCon)
4509533,Melinda Hersey,20855,Elon,Southern (SoCon)
1808886,Elena Horn,21460,Texas State,Southland (SLC)
3857186,Brittany Pfantz,21369,Southeast Louisiana,Southland (SLC)
1772261,Shelbie Zotyka,21321,Sam Houston State,Southland (SLC)
3857185,Ashley Pfantz,21369,Southeast Louisiana,Southland (SLC)
3845762,Anicka Newell,21460,Texas State,Southland (SLC)
2874945,Leslie Ables,21460,Texas State,Southland (SLC)
3842901,Leslie Beard,21018,Lamar,Southland (SLC)
3845716,Katelyn Wynn,21321,Sam Houston State,Southland (SLC)
3845715,Kara Whitson,21321,Sam Houston State,Southland (SLC)
663076,Sammy Nash,21462,Texas-Arlington,Southland (SLC)
3867559,Shauni Prihoda,21321,Sam Houston State,Southland (SLC)
1672777,MIKINLEY REA,20715,Central Arkansas,Southland (SLC)
1772240,Alyssa Cotton,21090,McNeese State,Southland (SLC)
3827565,Jami LeBlanc,21090,McNeese State,Southland (SLC)
3835684,Mahogany Cullins,21267,Prairie View A&amp;M,Southwestern (SWAC)
679980,Nichole Manning,21544,Western Illinois,Summit
2785453,Lauren McFarland,21240,Oral Roberts,Summit
667703,Amy Marquardt,21198,North Dakota State,Summit
2845467,Caitlin Mack,21198,North Dakota State,Summit
3835659,Linhchi Lai,21240,Oral Roberts,Summit
679984,Tyra Woodruff,21544,Western Illinois,Summit
2845159,Sarah Vann,21202,North Texas,Sun Belt
2845158,Sarah Korn,21202,North Texas,Sun Belt
3845701,Jessica McNew,21202,North Texas,Sun Belt
3848688,Kirby Newcomb,21050,Louisiana-Monroe,Sun Belt
676854,Sonia Grabowska,21496,Utah State,Western (WAC)
1766978,Cecilia Durocher,20941,Hawaii Manoa,Western (WAC)
606083,Danielle Valentine,20666,Boise State,Western (WAC)
3857173,Robyn Morioka,20941,Hawaii Manoa,Western (WAC)
1772172,Amber Thompson,21496,Utah State,Western (WAC)
3866144,Camie Kohashi,20941,Hawaii Manoa,Western (WAC)
2874661,Rachelle St. Jeor,21496,Utah State,Western (WAC)
677521,Morgan Dunning,20964,Idaho,Western (WAC)
1766891,Caitlin Owen,21175,Nevada-Reno,Western (WAC)
3844286,Taylor Black,21183,New Mexico State,Western (WAC)
606113,Alexa Anderson,21175,Nevada-Reno,Western (WAC)
2864046,Sara Hemenway,20964,Idaho,Western (WAC)
4942096,Katarine Winship,21175,Nevada-Reno,Western (WAC)
627206,Rita Ciambra,21176,New Hampshire,America East
1675310,Jenna Marrione,20661,Binghamton,America East
2766629,Camille Ginyard,20661,Binghamton,America East
2769834,Mary Krug,21502,Vermont,America East
735801,Elyse Ogletree,21502,Vermont,America East
1781352,Ashley Walker,21502,Vermont,America East
626866,Aly Rofrano,20668,Boston University,America East
711651,Angel Nelligan-Smith,21062,Maine,America East
1698513,Kathryn Porter,21062,Maine,America East
2784988,Samantha Graziani,21176,New Hampshire,America East
2784984,Bryn Estes,21176,New Hampshire,America East
605757,Kaitlyn Miller,21079,Maryland-Baltimore County,America East
618774,Courtney Siebenaller,20809,Dayton,Atlantic 10
2767045,Katrina Steinhauser,20809,Dayton,Atlantic 10
9137833,Katie Nageotte,20809,Dayton,Atlantic 10
618789,Pembroke Strickland,20809,Dayton,Atlantic 10
2848092,Christine Silvar,21082,Massachusetts-Amherst,Atlantic 10
624203,Katelyn Cass,20833,Duquesne,Atlantic 10
2765656,Kaylan Pickford,21288,Rhode Island,Atlantic 10
2768547,Grace Gibson,21294,Richmond,Atlantic 10
654932,Lindsey Pfau,21082,Massachusetts-Amherst,Atlantic 10
654926,Jenelle Denehy,21082,Massachusetts-Amherst,Atlantic 10
1839962,Lexi-Taylor Harrington,21288,Rhode Island,Atlantic 10
271715,Makenzie Mullinax,21192,North Carolina-Charlotte,Atlantic 10
604454,Jillian Pizzo,21288,Rhode Island,Atlantic 10
2826271,Catherine Neville,21012,La Salle,Atlantic 10
