ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
10676464,Sarah Edwards,21510,Virginia Tech,Atlantic Coast (ACC),1055.3,994.33,1015.7,962.37,2021
8830366,Ryen Frazier,21190,North Carolina State,Atlantic Coast (ACC),962.39,988.74,1086.61,1004.98,2021
10596112,Abbey Wheeler,21272,Providence,Big East,970.7,957.18,967.01,946.87,2021
8776311,Kaila Gibson,21266,Portland State,Big Sky,1119.11,1043.32,1007.04,1021.11,2021
10483409,Sarah Anderson,21485,UC Davis,Big West,1040.43,1032.19,996.19,1026.3,2021
10513499,Carly Davis,21101,Miami (OH),Mid-American (MAC),1014.93,994.01,1048.16,1038.1,2021
10641336,Clare O'Brien,20666,Boise State,Mountain West (MWC),957.36,948.74,948.56,937.87,2021
10495165,Megan Reniewicki,20618,Arizona State,PAC-12,1012.55,1041.1,1029.7,1041.37,2021
10482652,Emma Winkler,30432,University of the Pacific,West Coast (WCC),1133.87,1090.32,1069.93,1080.22,2021
8809549,Cara Sherman,20591,Albany,America East,1020.21,1040.18,1002.54,995.46,2021
8830402,Anneke Grogan,21377,Southern Methodist,American,1034.94,1029.05,1016.61,1033.94,2019
9109658,Taylor Vernot,20809,Dayton,Atlantic 10,1033.21,1007.41,1007.26,1001.85,2019
8830384,Anna Schmitz,21409,Saint Louis U,Atlantic 10,1049.44,1037.31,1060.35,1033.61,2019
9188159,Meredith Smith,21517,Wake Forest,Atlantic Coast (ACC),1053.24,1010.8,2080.65,1002.39,2019
10676464,Sarah Edwards,21510,Virginia Tech,Atlantic Coast (ACC),1055.3,994.33,1015.7,962.37,2021
7497308,Isabelle Kennedy,20667,Boston College,Atlantic Coast (ACC),1008.34,980.07,984.17,1031.13,2019
7480616,Elizabeth Dawson,20751,Clemson,Atlantic Coast (ACC),1050.42,1072.97,1064.5,1038.87,2019
8809584,Fatema Jaffer,20876,Florida State,Atlantic Coast (ACC),1066.63,1073.12,1055.44,1056.33,2019
8830366,Ryen Frazier,21190,North Carolina State,Atlantic Coast (ACC),962.39,988.74,1086.61,1004.98,2021
9032383,Melissa Zyla,20876,Florida State,Atlantic Coast (ACC),1308.36,1188.92,1205.15,1237.36,2019
9103631,Ali Bowen,20702,Campbell,Atlantic Sun,1169.87,1167.96,1156.22,1153.79,2019
8893143,Katherine Receveur,20972,Indiana (IN),Big 10,1011.63,944.8,943.26,954.78,2019
8892269,Margaret Allen,20972,Indiana (IN),Big 10,1038.93,960.48,951.73,959.02,2019
