,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
0,10673382,Cameron Avery,21430,Stony Brook,America East,876.91,868.88,849.89,874.53,2021
1,10596102,Nicholas Brown,21176,New Hampshire,America East,944.16,935.62,928.64,945.74,2021
2,10635564,Alex Cornwell,21192,North Carolina-Charlotte,Atlantic 10,894.88,881.85,864.1,850.23,2021
3,10804992,George Letner,20996,Kansas,Big 12,933.24,895.32,896.05,917.22,2021
4,10480219,Chase Howard,33998,Creighton,Big East,916.51,917.02,886.19,851.86,2021
5,10738688,Blaise Ferro,21204,Northern Arizona,Big Sky,849.72,830.16,899.57,811.54,2021
6,8693493,Sam Pimentel,20790,CS Fullerton,Big West,899.42,884.22,909.91,877.49,2021
7,10876319,Jackson Mestler,21242,Oregon,PAC-12,861.61,843.56,842.53,827.99,2021
8,10564754,Jeffrey Kirshenbaum,21026,Lehigh,Patriot,882.0,861.53,910.81,898.22,2021
9,10514750,Mason Coppi,20891,Furman,Southern (SoCon),850.6,850.31,842.93,837.07,2021
10,11241250,Cole Klashinsky,21462,Texas-Arlington,Southland (SLC),948.36,882.58,891.06,844.32,2021
11,9126979,Lukas Nelson,21365,South Dakota State,Summit,886.53,893.37,890.82,889.95,2021
12,8808446,Elliott Stone,21198,North Dakota State,Summit,949.08,862.01,876.35,898.77,2021
13,10641377,Caleb Webb,21265,Portland,West Coast (WCC),840.15,868.33,836.24,826.51,2021
14,10666719,Xander Olivero,21335,Santa Clara,West Coast (WCC),906.99,891.6,869.69,851.49,2021
15,10482636,Nolan Dozier,28962,St Mary's (CA),West Coast (WCC),884.98,870.93,856.96,854.31,2021
17,8809648,Kevin Vinolas,21430,Stony Brook,America East,917.69,885.66,878.55,861.89,2019
18,10000479,Davis Clark,21176,New Hampshire,America East,953.49,952.07,934.88,919.55,2019
20,9123632,Tom Nobles,21192,North Carolina-Charlotte,Atlantic 10,872.74,866.95,856.65,852.19,2019
22,9158872,Hunter Wharrey,20833,Duquesne,Atlantic 10,924.56,903.44,894.34,882.47,2019
23,8890594,Andy Weber,28888,George Washington,Atlantic 10,923.69,899.38,894.79,897.31,2019
24,8893217,Peter Seufer,21510,Virginia Tech,Atlantic Coast (ACC),856.02,833.92,833.35,831.39,2019
25,9171459,Patrick Sheehan,21190,North Carolina State,Atlantic Coast (ACC),860.27,855.75,853.91,843.76,2019
26,9223577,Christian Bowles,20903,Georgia Tech,Atlantic Coast (ACC),877.92,867.91,856.7,850.55,2019
27,9127179,Craig Corti,21517,Wake Forest,Atlantic Coast (ACC),881.83,856.29,876.64,876.97,2019
28,7480450,Luke Evans,20643,Belmont,Atlantic Sun,923.5,894.91,923.69,918.62,2019
